policy,uncertainty_method,target_coverage,label,positive_support,retained_positive,positive_retention
logistic_router,mean_entropy,0.9,anger,618,599,0.9692556634304207
logistic_router,mean_entropy,0.9,sadness,161,88,0.546583850931677
logistic_router,mean_entropy,0.9,fear,74,21,0.28378378378378377
logistic_router,mean_entropy,0.8,love,854,734,0.8594847775175644
logistic_router,mean_entropy,0.8,joy,343,118,0.34402332361516036
logistic_router,mean_entropy,0.8,surprise,31,17,0.5483870967741935
logistic_router,mean_entropy,0.8,anger,618,566,0.9158576051779935
logistic_router,mean_entropy,0.8,sadness,161,52,0.32298136645962733
logistic_router,mean_entropy,0.8,fear,74,12,0.16216216216216217
logistic_router,mean_entropy,0.7,love,854,654,0.765807962529274
logistic_router,mean_entropy,0.7,joy,343,88,0.2565597667638484
logistic_router,mean_entropy,0.7,surprise,31,14,0.45161290322580644
logistic_router,mean_entropy,0.7,anger,618,480,0.7766990291262136
logistic_router,mean_entropy,0.7,sadness,161,35,0.21739130434782608
logistic_router,mean_entropy,0.7,fear,74,10,0.13513513513513514
logistic_router,mean_entropy,0.6,love,854,613,0.7177985948477752
logistic_router,mean_entropy,0.6,joy,343,74,0.21574344023323616
logistic_router,mean_entropy,0.6,surprise,31,11,0.3548387096774194
logistic_router,mean_entropy,0.6,anger,618,270,0.4368932038834951
logistic_router,mean_entropy,0.6,sadness,161,28,0.17391304347826086
logistic_router,mean_entropy,0.6,fear,74,8,0.10810810810810811
logistic_router,max_entropy,1.0,love,854,854,1.0
logistic_router,max_entropy,1.0,joy,343,343,1.0
logistic_router,max_entropy,1.0,surprise,31,31,1.0
logistic_router,max_entropy,1.0,anger,618,618,1.0
logistic_router,max_entropy,1.0,sadness,161,161,1.0
logistic_router,max_entropy,1.0,fear,74,74,1.0
logistic_router,max_entropy,0.95,love,854,817,0.9566744730679156
logistic_router,max_entropy,0.95,joy,343,286,0.8338192419825073
logistic_router,max_entropy,0.95,surprise,31,28,0.9032258064516129
logistic_router,max_entropy,0.95,anger,618,602,0.9741100323624595
logistic_router,max_entropy,0.95,sadness,161,147,0.9130434782608695
logistic_router,max_entropy,0.95,fear,74,62,0.8378378378378378
logistic_router,max_entropy,0.9,love,854,779,0.9121779859484778
logistic_router,max_entropy,0.9,joy,343,241,0.7026239067055393
logistic_router,max_entropy,0.9,surprise,31,26,0.8387096774193549
logistic_router,max_entropy,0.9,anger,618,581,0.9401294498381877
logistic_router,max_entropy,0.9,sadness,161,133,0.8260869565217391
logistic_router,max_entropy,0.9,fear,74,43,0.581081081081081
logistic_router,max_entropy,0.8,love,854,724,0.8477751756440282
logistic_router,max_entropy,0.8,joy,343,172,0.5014577259475219
logistic_router,max_entropy,0.8,surprise,31,20,0.6451612903225806
logistic_router,max_entropy,0.8,anger,618,533,0.8624595469255664
logistic_router,max_entropy,0.8,sadness,161,105,0.6521739130434783
logistic_router,max_entropy,0.8,fear,74,21,0.28378378378378377
logistic_router,max_entropy,0.7,love,854,653,0.7646370023419203
logistic_router,max_entropy,0.7,joy,343,100,0.2915451895043732
logistic_router,max_entropy,0.7,surprise,31,12,0.3870967741935484
logistic_router,max_entropy,0.7,anger,618,477,0.7718446601941747
logistic_router,max_entropy,0.7,sadness,161,72,0.4472049689440994
logistic_router,max_entropy,0.7,fear,74,11,0.14864864864864866
logistic_router,max_entropy,0.6,love,854,567,0.6639344262295082
logistic_router,max_entropy,0.6,joy,343,55,0.16034985422740525
logistic_router,max_entropy,0.6,surprise,31,9,0.2903225806451613
logistic_router,max_entropy,0.6,anger,618,397,0.6423948220064725
logistic_router,max_entropy,0.6,sadness,161,28,0.17391304347826086
logistic_router,max_entropy,0.6,fear,74,8,0.10810810810810811
logistic_router,margin,1.0,love,854,854,1.0
logistic_router,margin,1.0,joy,343,343,1.0
logistic_router,margin,1.0,surprise,31,31,1.0
logistic_router,margin,1.0,anger,618,618,1.0
logistic_router,margin,1.0,sadness,161,161,1.0
logistic_router,margin,1.0,fear,74,74,1.0
logistic_router,margin,0.95,love,854,816,0.955503512880562
logistic_router,margin,0.95,joy,343,298,0.8688046647230321
logistic_router,margin,0.95,surprise,31,28,0.9032258064516129
logistic_router,margin,0.95,anger,618,602,0.9741100323624595
logistic_router,margin,0.95,sadness,161,148,0.9192546583850931
logistic_router,margin,0.95,fear,74,57,0.7702702702702703
logistic_router,margin,0.9,love,854,780,0.9133489461358314
logistic_router,margin,0.9,joy,343,258,0.7521865889212828
logistic_router,margin,0.9,surprise,31,22,0.7096774193548387
logistic_router,margin,0.9,anger,618,585,0.9466019417475728
logistic_router,margin,0.9,sadness,161,132,0.8198757763975155
logistic_router,margin,0.9,fear,74,51,0.6891891891891891
logistic_router,margin,0.8,love,854,695,0.8138173302107728
logistic_router,margin,0.8,joy,343,173,0.5043731778425656
logistic_router,margin,0.8,surprise,31,17,0.5483870967741935
logistic_router,margin,0.8,anger,618,551,0.8915857605177994
logistic_router,margin,0.8,sadness,161,106,0.6583850931677019
logistic_router,margin,0.8,fear,74,28,0.3783783783783784
logistic_router,margin,0.7,love,854,601,0.7037470725995316
logistic_router,margin,0.7,joy,343,111,0.3236151603498542
logistic_router,margin,0.7,surprise,31,11,0.3548387096774194
logistic_router,margin,0.7,anger,618,514,0.8317152103559871
logistic_router,margin,0.7,sadness,161,61,0.37888198757763975
logistic_router,margin,0.7,fear,74,13,0.17567567567567569
logistic_router,margin,0.6,love,854,480,0.5620608899297423
logistic_router,margin,0.6,joy,343,58,0.16909620991253643
logistic_router,margin,0.6,surprise,31,9,0.2903225806451613
logistic_router,margin,0.6,anger,618,483,0.7815533980582524
logistic_router,margin,0.6,sadness,161,36,0.2236024844720497
logistic_router,margin,0.6,fear,74,9,0.12162162162162163
