policy,uncertainty_method,target_coverage,label,positive_support,retained_positive,positive_retention
logistic_router,mean_entropy,0.8,sadness,161,58,0.36024844720496896
logistic_router,mean_entropy,0.8,fear,74,19,0.25675675675675674
logistic_router,mean_entropy,0.7,love,854,619,0.724824355971897
logistic_router,mean_entropy,0.7,joy,343,70,0.20408163265306123
logistic_router,mean_entropy,0.7,surprise,31,12,0.3870967741935484
logistic_router,mean_entropy,0.7,anger,618,494,0.7993527508090615
logistic_router,mean_entropy,0.7,sadness,161,28,0.17391304347826086
logistic_router,mean_entropy,0.7,fear,74,9,0.12162162162162163
logistic_router,mean_entropy,0.6,love,854,490,0.5737704918032787
logistic_router,mean_entropy,0.6,joy,343,50,0.1457725947521866
logistic_router,mean_entropy,0.6,surprise,31,10,0.3225806451612903
logistic_router,mean_entropy,0.6,anger,618,384,0.6213592233009708
logistic_router,mean_entropy,0.6,sadness,161,21,0.13043478260869565
logistic_router,mean_entropy,0.6,fear,74,8,0.10810810810810811
logistic_router,max_entropy,1.0,love,854,854,1.0
logistic_router,max_entropy,1.0,joy,343,343,1.0
logistic_router,max_entropy,1.0,surprise,31,31,1.0
logistic_router,max_entropy,1.0,anger,618,618,1.0
logistic_router,max_entropy,1.0,sadness,161,161,1.0
logistic_router,max_entropy,1.0,fear,74,74,1.0
logistic_router,max_entropy,0.95,love,854,814,0.9531615925058547
logistic_router,max_entropy,0.95,joy,343,294,0.8571428571428571
logistic_router,max_entropy,0.95,surprise,31,28,0.9032258064516129
logistic_router,max_entropy,0.95,anger,618,594,0.9611650485436893
logistic_router,max_entropy,0.95,sadness,161,147,0.9130434782608695
logistic_router,max_entropy,0.95,fear,74,64,0.8648648648648649
logistic_router,max_entropy,0.9,love,854,770,0.9016393442622951
logistic_router,max_entropy,0.9,joy,343,248,0.7230320699708455
logistic_router,max_entropy,0.9,surprise,31,25,0.8064516129032258
logistic_router,max_entropy,0.9,anger,618,574,0.9288025889967637
logistic_router,max_entropy,0.9,sadness,161,139,0.8633540372670807
logistic_router,max_entropy,0.9,fear,74,55,0.7432432432432432
logistic_router,max_entropy,0.8,love,854,703,0.8231850117096019
logistic_router,max_entropy,0.8,joy,343,175,0.5102040816326531
logistic_router,max_entropy,0.8,surprise,31,18,0.5806451612903226
logistic_router,max_entropy,0.8,anger,618,529,0.8559870550161812
logistic_router,max_entropy,0.8,sadness,161,105,0.6521739130434783
logistic_router,max_entropy,0.8,fear,74,25,0.33783783783783783
logistic_router,max_entropy,0.7,love,854,629,0.7365339578454333
logistic_router,max_entropy,0.7,joy,343,109,0.3177842565597668
logistic_router,max_entropy,0.7,surprise,31,17,0.5483870967741935
logistic_router,max_entropy,0.7,anger,618,461,0.7459546925566343
logistic_router,max_entropy,0.7,sadness,161,54,0.33540372670807456
logistic_router,max_entropy,0.7,fear,74,9,0.12162162162162163
logistic_router,max_entropy,0.6,love,854,517,0.6053864168618267
logistic_router,max_entropy,0.6,joy,343,53,0.15451895043731778
logistic_router,max_entropy,0.6,surprise,31,11,0.3548387096774194
logistic_router,max_entropy,0.6,anger,618,413,0.6682847896440129
logistic_router,max_entropy,0.6,sadness,161,18,0.11180124223602485
logistic_router,max_entropy,0.6,fear,74,5,0.06756756756756757
logistic_router,margin,1.0,love,854,854,1.0
logistic_router,margin,1.0,joy,343,343,1.0
logistic_router,margin,1.0,surprise,31,31,1.0
logistic_router,margin,1.0,anger,618,618,1.0
logistic_router,margin,1.0,sadness,161,161,1.0
logistic_router,margin,1.0,fear,74,74,1.0
logistic_router,margin,0.95,love,854,819,0.9590163934426229
logistic_router,margin,0.95,joy,343,307,0.8950437317784257
logistic_router,margin,0.95,surprise,31,28,0.9032258064516129
logistic_router,margin,0.95,anger,618,602,0.9741100323624595
logistic_router,margin,0.95,sadness,161,145,0.9006211180124224
logistic_router,margin,0.95,fear,74,67,0.9054054054054054
logistic_router,margin,0.9,love,854,778,0.9110070257611241
logistic_router,margin,0.9,joy,343,266,0.7755102040816326
logistic_router,margin,0.9,surprise,31,26,0.8387096774193549
logistic_router,margin,0.9,anger,618,579,0.9368932038834952
logistic_router,margin,0.9,sadness,161,135,0.8385093167701864
logistic_router,margin,0.9,fear,74,60,0.8108108108108109
logistic_router,margin,0.8,love,854,686,0.8032786885245902
logistic_router,margin,0.8,joy,343,189,0.5510204081632653
logistic_router,margin,0.8,surprise,31,24,0.7741935483870968
logistic_router,margin,0.8,anger,618,542,0.8770226537216829
logistic_router,margin,0.8,sadness,161,99,0.6149068322981367
logistic_router,margin,0.8,fear,74,29,0.3918918918918919
logistic_router,margin,0.7,love,854,605,0.7084309133489461
logistic_router,margin,0.7,joy,343,125,0.36443148688046645
logistic_router,margin,0.7,surprise,31,17,0.5483870967741935
logistic_router,margin,0.7,anger,618,508,0.8220064724919094
logistic_router,margin,0.7,sadness,161,42,0.2608695652173913
logistic_router,margin,0.7,fear,74,8,0.10810810810810811
logistic_router,margin,0.6,love,854,478,0.5597189695550351
logistic_router,margin,0.6,joy,343,56,0.16326530612244897
logistic_router,margin,0.6,surprise,31,12,0.3870967741935484
logistic_router,margin,0.6,anger,618,458,0.7411003236245954
logistic_router,margin,0.6,sadness,161,17,0.10559006211180125
logistic_router,margin,0.6,fear,74,4,0.05405405405405406
